Атꙋнчѣ ЇС дꙋс фꙋ де дꙋχꙋл ꙟпꙋстїе, съсѫ испитѣскѫ де дїаволꙋл.	Atunci Iisus a fost dus de Duhul în pustiu, ca să fie ispitit de către diavolul.
Дарѫ Ель ръспꙋнζъндь, ζисе: адевърь гръескꙋ воаѡ нꙋ вѫ кꙋноскꙋ пре вои.	Iar el, răspunzând, a zis: Adevărat zic vouă: Nu vă cunosc pe voi.
Дерепть ачѣѧ превегѣцивѫ, къ нꙋ щиц зꙋѡа, нече часꙋл ꙟкарѣ фїюль ѡменескь ва вени.	Drept aceea, privegheați, că nu știți ziua, nici ceasul când vine Fiul Omului.
Кѫ ашѧи ка ѡмꙋл мергънд департе, кїамѫ слꙋџиле сале ши дѫ лор бꙋнътатѣ лꙋи.	Și mai este ca un om care, plecând departe, și-a chemat slugile și le-a dat pe mână avuția sa.
Ши ѹнꙋѧи дѣде чинчи таланци, алтꙋѧ дои, ѩрѫ алтꙋѧ ѹнꙋл, кърꙋѧ дꙋпѫ ꙟцелесꙋл лꙋи ши съ дꙋсе нꙋмаи декът.	Unuia i-a dat cinci talanți, altuia doi, altuia unul, fiecăruia după puterea lui și a plecat.
Ѩрѫ мѣрсе чель че лꙋѡ чинчи таланци, лꙋкрѫ ꙟтрънши ши добънди алци чинчи таланци.	Îndată, mergând, cel ce luase cinci talanți a lucrat cu ei și a câștigat alți cinci talanți.
Ашиждерѣ ши чел кꙋ дои, добънди ши алци дои.	De asemenea și cel cu doi a câștigat alți doi.
Дарѫ чела челꙋѡ ѹнꙋл, мѣрсе ши съпѫ Ꙟпъмънть ши аскꙋнсе арџинтꙋл домнꙋлꙋи съꙋ.	Iar cel ce luase un talant s-a dus, a săpat o groapă în pământ și a ascuns argintul stăpânului său.
Ѩрѫ дꙋпѫ мꙋлтѫ врѣме, вени домнꙋл слꙋџилор челора ши бъгѫ самѫ кꙋ Еи.	După multă vreme a venit și stăpânul acelor slugi și a făcut socoteala cu ele.
Атꙋнчи мѣрсе чел че лꙋѡ чинчи таланци, адꙋкънд алци чинчи таланци, зикънд: доамне чинчи таланци мїѧи дат, ѩка, алци чинчи таланци ам добъндит кꙋ Еи.	Și apropiindu-se cel care luase cinci talanți, a adus alți cinci talanți, zicând: Doamne, cinci talanți mi-ai dat, iată alți cinci talanți am câștigat cu ei.
Ши зисе лꙋи домнꙋ съ: бине ѧсте слꙋгѫ бꙋнѫ ши крединчоасѫ спре пꙋцъи фꙋсеши крединчось, спре мꙋлт те вою ꙟкрѣде; Ꙟтрѫ ꙟбꙋкꙋрїѧ домнꙋлꙋи тъꙋ.	Zis-a lui stăpânul: Bine, slugă bună și credincioasă, peste puține ai fost credincioasă, peste multe te voi pune; intră întru bucuria domnului tău.
Вени ши чела че лꙋѡ дои таланци, зисе: доамне, дои таланци, мїѧи дать, ѩка алци дои таланци добъндитам кꙋ Еи.	Apropiindu-se și cel cu doi talanți, a zis: Doamne, doi talanți mi-ai dat, iată alți doi talanți am câștigat cu ei.
Зисе лꙋи домнꙋл лꙋи: бине слꙋгѫ бꙋнѫ ши крединчоасѫ, спре пꙋцъи фꙋсешь крединчось, спре мꙋлть те вою ꙟкрѣде; ꙟтрѫ Ꙟбꙋкꙋрїѧ домнꙋлꙋи тъꙋ.	Zis-a lui stăpânul: Bine, slugă bună și credincioasă, peste puține ai fost credincioasă, peste multe te voi pune; intră întru bucuria domnului tău.
Ѩрѫ венинд ши чела че лꙋасе ѹн таланть, зисе: доамне щїꙋтꙋтѣм кѫ Ещи ѡмь таре, сѣчери ѹнде наи съмънат ши адꙋни ѹнде наи ръсфират.	Apropiindu-se apoi și cel care primise un talant, a zis: Doamne, te-am știut că ești om aspru, care seceri unde n-ai semănat și aduni de unde n-ai împrăștiat.
Ши темъндꙋмѫ, мершь ши аскꙋншꙋ талантꙋль ꙟпъмънть; ѩтъц ал тъꙋ.	Și temându-mă, m-am dus de am ascuns talantul tău în pământ; iată ai ce este al tău.
Дарѫ ръспꙋнзъндь домнꙋ съꙋ зисе лꙋи: слꙋгѫ рѣ ши лѣнишѫ, щиꙋши къ сѣчерь де ꙋнде намь съмънать, ши адꙋнь де ꙋнде намь агонисить?	Și răspunzând stăpânul său i-a zis: Slugă vicleană și leneșă, știai că secer de unde n-am semănat și adun de unde n-am împrăștiat?
Къ дѣ цисаꙋ врꙋт цїе съ даи арџинтꙋл мїеꙋ негꙋцъторилор, ши вїинд Еꙋ фирѣш лꙋать ал мїеꙋ кꙋ добъндѫ.	Se cuvenea deci ca tu să pui banii mei la zarafi, și eu, venind, aș fi luat ce este al meu cu dobândă.
Лꙋаци дерепть ачѣѧ дела Ель талантꙋл, шил дац челꙋѧ че аре зѣче таланци.	Luați deci de la el talantul și dați-l celui ce are zece talanți.
Къ тоть чела че аре даисъва ши и съ ва спори (дарѫ чела че наре ши чеисѫ паре къ аре, лꙋасъва дела Ель.)	Căci tot celui ce are i se va da și-i va prisosi, iar de la cel ce n-are și ce are i se va lua.
Ши пре слꙋга нетрѣбникѫ арꙋнкацил ꙟтрꙋ ꙟтꙋнѣречеле де афарѫ. Aколо ва фи плънсꙋ ши скръшнирѣ динцилорь.	Iar pe sluga netrebnică aruncați-o întru întunericul cel mai din afară. Acolo va fi plângerea și scrâșnirea dinților.
Ѩрѫ кънд ва вени фїюл ѡменеск ꙟтрꙋ слава лꙋи, ши тоц сфинцїи ꙟџери кꙋ ел, атꙋнчѣ ва шедѣ спре скаꙋнꙋл славеи лꙋи.	Când va veni Fiul Omului întru slava Sa, și toți sfinții îngeri cu El, atunci va ședea pe tronul slavei Sale.
Ши сѫ вор адꙋна ꙟнаинтѣ лꙋи тоате лимбиле ши ва деспърци пре Еи ѹнꙋл де алт, кꙋм алѣџе пъсторюл ѡиле де ꙟкапре.	Și se vor aduna înaintea Lui toate neamurile și-i va despărți pe unii de alții, precum desparte păstorul oile de capre.
Ши ва пꙋне ѡиле дѣ дерѣпта лꙋи, ѩрѫ капреле дѣ стънга.	Și va pune oile de-a dreapta Sa, iar caprele de-a stânga.
Атꙋнчи ва ζиче краю челорь дѣ дерѣпта лꙋи: вениць, блсвицїи татълꙋи мїеꙋ, ши мощениць ꙟпъръцїѧ карѣ Е гътитѫ воаѡ де Ꙟчепꙋтꙋль лꙋмїеи.	Atunci va zice Împăratul celor de-a dreapta Lui: Veniți, binecuvântații Tatălui Meu, moșteniți împărăția cea pregătită vouă de la întemeierea lumii.
Къ ам флъмънζит ши миац дат мънкаре; ꙟсътошатам ши миац дат бъꙋтꙋрѫ; стреин ам фост ши мац прїими.	Căci flămând am fost și Mi-ați dat să mănânc; însetat am fost și Mi-ați dat să beau; străin am fost și M-ați primit;
Голь ши мац ꙟбрѫкать; бетѣгь ши мац сокотить; ꙟтемницѫ ам фост ши ац венит ла мине.	Gol am fost și M-ați îmbrăcat; bolnav am fost și M-ați cercetat; în temniță am fost și ați venit la Mine.
Атꙋнчѣ ръспꙋндевор лꙋи дерепцїи, ζикънд: доамне кънд тѣм въζꙋт флъмънд, ши тѣм хрънит? саꙋ сътос ши цам дат беꙋтꙋрѫ?	Atunci drepții Îi vor răspunde, zicând: Doamne, când Te-am văzut flămând și Te-am hrănit? Sau însetat și Ți-am dat să bei?
Саꙋ кънд тѣм въζꙋт стреини ши тѣмь прїимить? саꙋ голь ши тѣмь Ꙟбръкать?	Sau când Te-am văzut străin și Te-am primit, sau gol și Te-am îmbrăcat?
Саꙋ къндь тѣм въζꙋть бетѣгь, саꙋ ꙟтемницѫ ши амь венить ла тине?	Sau când Te-am văzut bolnav sau în temniță și am venit la Tine?
Ши Ръспꙋнζънд краю, ζисе лѡр: Aдевър гръеск воаѡ, къче аць фъкꙋт ѹнꙋѧ де ачещи фрац маи мис аи мїеи, мїе ац фъкꙋт.	Iar Împăratul, răspunzând, va zice către ei: Adevărat zic vouă, întrucât ați făcut unuia dintr-acești frați ai Mei, prea mici, Mie Mi-ați făcut.
Атꙋнче ва ζиче ши челѡр дѣ стънга лꙋи: дꙋчеци вѫ дела мине, блъстъмацилѡрь, ꙟфокꙋль девѣкь кареле Е гътить дїаволꙋлꙋи ши Ꙟџерилѡрь лꙋи.	Atunci va zice și celor de-a stânga: Duceți-vă de la Mine, blestemaților, în focul cel veșnic, care este gătit diavolului și îngerilor lui.
Къ ам флъмънζит ши нꙋ миац дат мънкаре, ꙟсетошатам, ши нꙋ миаць дать беꙋтꙋрѫ;	Căci flămând am fost și nu Mi-ați dat să mănânc; însetat am fost și nu Mi-ați dat să beau;
Стреин ам фость ши нꙋ маць прїимит; гол, ши нꙋ маць ꙟбръкат; бетѣг ши ꙟтемницѫ, нꙋ мац сокотить.	Străin am fost și nu M-ați primit; gol, și nu M-ați îmbrăcat; bolnav și în temniță, și nu M-ați cercetat.
Атꙋнчи Еи Ꙟкѫ ворь ръспꙋнде лꙋи ζикъндь: доамне, кънд тѣмь въζꙋт флъмънд, саꙋ сетос, саꙋ стреинь, саꙋ гол, саꙋ бетѣг, саꙋ ꙟтемницѫ, ши нам слꙋжит цїе?	Atunci vor răspunde și ei, zicând: Doamne, când Te-am văzut flămând, sau însetat, sau străin, sau gol, sau bolnav, sau în temniță și nu Ți-am slujit?
Атꙋнче ва ръспꙋнде лорь, зикънд: Aдевър гръескь воаѡ: пентрꙋ че нац фъкꙋт ѹнꙋѧ де ачещи мичи, неч мїе ац фъкꙋт.	El însă le va răspunde, zicând: Adevărat zic vouă: Întrucât nu ați făcut unuia dintre acești prea mici, nici Mie nu Mi-ați făcut.
Ши вор мѣрџе ачещѣ ꙟмꙋнка де вѣчи, ѩрѫ дерепцїи ꙟ вїѧца чѣ де вѣчи.	Și vor merge aceștia la osândă veșnică, iar drepții la viață veșnică.
Ши фꙋ кънд сфърши ЇС тоате кꙋвинтеле ачѣстѣ, зисе ѹченичилорь лꙋи:	Iar după ce a sfârșit toate aceste cuvinte, a zis Iisus către ucenicii Săi:
Щиц кѫ дꙋпѫ доаѡ зиле пащиле вор фи, ши фїюл ѡменеск съ ва да съ сѫ ръстигнѣскѫ.	Știți că peste două zile va fi Paștile și Fiul Omului va fi dat să fie răstignit.
Атꙋнчи сѫ адꙋнарѫ маи марїи попилор, ши къртꙋларїи ши бътрънїи, ꙟ кꙋртѣ маи марелꙋи попилор, кареле кема каиафа.	Atunci arhiereii și bătrânii poporului s-au adunat în curtea arhiereului, care se numea Caiafa.
Ши фъкꙋрѫ сфат ка съ принζѫ пре ЇС, кꙋ хикленїе, ши съл ѡмоарѫ.	Și împreună s-au sfătuit ca să prindă pe Iisus, cu vicleșug, și să-L ucidă.
Ѩрѫ зичѣ: нꙋ ꙟсърбътоаре ка съ нꙋ фїе гълчавѫ Ꙟ ѡамени.	Dar ziceau: Nu în ziua praznicului, ca să nu se facă tulburare în popor.
Ѩрѫ ЇС фїинд ꙟвиѳанїѧ, ꙟ каса лꙋи симонь стрикатꙋл.	Fiind Iisus în Betania, în casa lui Simon Leprosul,
Вени кътрѫ Ел, ѡмꙋѧре авънд ꙋн вас, де алавастрꙋ кꙋ ꙋнсоаре демꙋлт прец, шил върсѫ пре капꙋл лꙋи шъζънд ЇС ла масѫ.	S-a apropiat de El o femeie, având un alabastru cu mir de mare preț, și l-a turnat pe capul Lui, pe când ședea la masă.
Ѩрѫ въζъндь ѹченичїи лꙋи съмирарѫ, зикъндь: пентрꙋ чее ачаста пагꙋбѫ?	Și văzând ucenicii, s-au mâniat și au zis: De ce risipa aceasta?
Къ пꙋтѣ ачаста ꙋнсоаре съсѫ вънζѫ дерепть мꙋлть, ши съ дѣ сꙋрꙋманилорь.	Căci mirul acesta se putea vinde scump, iar banii să se dea săracilor.
Ѩрѫ щїиндь ЇС зисе лѡрь, че сꙋпъраць ачѣ мꙋѧре? кѫ лꙋкрꙋ бꙋнь фъкꙋ кꙋ мине.	Dar Iisus, cunoscând gândul lor, le-a zis: Pentru ce faceți supărare femeii? Căci lucru bun a făcut ea față de Mine.
Къ сириманїи пꙋрꙋрѣ авець кꙋ вои, ѩрѫ пре мине нꙋ мѫ авець пꙋрꙋрѣ.	Căci pe săraci totdeauna îi aveți cu voi, dar pe Mine nu Mă aveți totdeauna;
Кѫ върсънд ачаста ѹнсоаре спре трꙋпꙋл мїЕꙋ, фъкꙋт аꙋ пре ꙟгрꙋпарѣ мѣ.	Că ea, turnând mirul acesta pe trupul Meu, a făcut-o spre îngroparea Mea.
Адевър гръеск воаѡ: ѡаре ѹнде съ ва проповедꙋи Еѵглїѧ ачаста, ꙟтоатѫ лꙋмѣ, зичесъва ши че фъкꙋ ачаста пре помѣна Еи.	Adevărat zic vouă: Oriunde se va propovădui Evanghelia aceasta, în toată lumea, se va spune și ce-a făcut ea, spre pomenirea ei.
Атꙋнчѣ мѣрсе ѹнꙋл де ꙟ чеи доиспръзѣче, карелел кема Їꙋда искарїѡтись, ла маи марїи попилѡрь.	Atunci unul din cei doisprezece, numit Iuda Iscarioteanul, ducându-se la arhierei,
Зисе лѡрь: чеми вец съꙋ даць ши Еꙋ съ вѫл даꙋ пре Ел воаѡ? ѩрѫ Еи дѣдерѫ лꙋи треиζечь де арџинци.	A zis: Ce voiți să-mi dați și eu Îl voi da în mâinile voastre? Iar ei i-au dat treizeci de arginți.
Ши дѣчїѧ къꙋта врѣме ка съл дѣ пре Ел.	Și de atunci căuta un prilej potrivit ca să-L dea în mâinile lor.
Ѩрѫ ꙟ зꙋѡа дентъи а аζимелѡр, венирѫ ѹченичїи ла ЇС ζикънд лꙋи: ѹнде веи сѫ гътим цїе сѫ мънънчи пащиле?	În cea dintâi zi a Azimelor, au venit ucenicii la Iisus și L-au întrebat: Unde voiești să-Ți pregătim să mănânci Paștile?
Ѩрѫ Ель, зисе лорь: мѣрџеци ꙟ ѡраш кътрѫ ꙋн ѡмь, ши ѕичец лꙋи ꙟвъцъторюл зиче: врѣмѣ мѣи апроапе; ла тине вою фаче пащиле кꙋ ѹченичїи мїеи.	Iar El a zis: Mergeți în cetate, la cutare și spuneți-i: Învățătorul zice: Timpul Meu este aproape; la tine vreau să fac Paștile cu ucenicii Mei.
Ши фъкꙋрѫ ѹченичїи кꙋм ле порꙋнчи лор ЇС ши гътирѫ пащиле.	Și ucenicii au făcut precum le-a poruncit Iisus și au pregătit Paștile.
Ѩрѫ фїинд сара, шъζꙋ кꙋ чеи доиспръзѣче ѹченичїи аи лꙋи.	Iar când s-a făcut seară, a șezut la masă cu cei doisprezece ucenici.
Ши мънкънд Еи ζисе: адевър ζик воаѡ, къ ꙋнꙋл дїꙟ вои мѫ ва винде.	Și pe când mâncau, Iisus a zis: Adevărat grăiesc vouă, că unul dintre voi Mă va vinde.
Атꙋнчи сѫ ꙟтристарѫ фоарте, ꙟчепꙋрѫ агръи чинешь де Ель ζикънд: аꙋ доарѫ Еꙋ сънть доамне?	Și ei, întristându-se foarte, au început să-I zică fiecare: Nu cumva eu sunt, Doamne?
Ѩрѫ Ель ръспꙋнζъндь зисе: чела че ꙟтинџе кꙋ мине мъна ꙟблидь, ачела мъва винде.	Iar El, răspunzând, a zis: Cel ce a întins cu Mine mâna în blid, acela Mă va vinde.
ЧЕ фїюль ѡменеск ва мѣрџе кꙋмꙋи скрись де Ель, ѩрѫ ваи де ѡмꙋлꙋи ачела кареле фїюль ѡменескь ва винде, бине аꙋ врꙋт фи съ нꙋ фїе нъскꙋт ѡмꙋлꙋи ачелꙋѧ.	Fiul Omului merge precum este scris despre El. Vai, însă, acelui om prin care Fiul Omului se vinde! Bine era de omul acela dacă nu se năștea.
Ѩрѫ ръспꙋнζъндь Їꙋда чела чель виндѣ пре Ель, ζисе: аꙋ доарѫ сънт Еꙋ ꙟвъцъторюле? ζисе лꙋи: тꙋ ζичеши.	Și Iuda, cel ce L-a vândut, răspunzând a zis: Nu cumva sunt eu, Învățătorule? Răspuns-a lui: Tu ai zis.
Ѩрѫ чинънд Еи, лꙋѡ ЇС пъине ши благословинд фръмсе, ши дѣде ѹченичилѡр лꙋи ши ζисе: лꙋаци, мънкац ачеста е трꙋпꙋл мїеꙋ.	Iar pe când mâncau ei, Iisus, luând pâine și binecuvântând, a frânt și, dând ucenicilor, a zis: Luați, mâncați, acesta este trupul Meu.
Ши лꙋꙟнд пъхарꙋль ши дѣде харь, дѣде лѡрь ζикъндь: бѣци дентрачеста тоць.	Și luând paharul și mulțumind, le-a dat, zicând: Beți dintru acesta toți,
Кѫ ачестаи сънџеле мїеꙋ, алеџїи ноаѡ че съ ва върса пентрꙋ мꙋлци, ꙟтрꙋ Ертъчюнѣ пъкателѡрь.	Că acesta este Sângele Meu, al Legii celei noi, care pentru mulți se varsă spre iertarea păcatelor.
Ѩрѫ ζик воаѡ къ нꙋ вою бѣ де акꙋм дентрꙋ ачесть родь де вїе, пънѫ ла ζꙋа ачѣѧ кънд вою бѣ кꙋ вои ноꙋ ꙟтрꙋ ꙟпъръцїѧ татълꙋи мїеꙋ.	Și vă spun vouă că nu voi mai bea de acum din acest rod al viței până în ziua aceea când îl voi bea cu voi, nou, întru împărăția Tatălui Meu.
Ши кънтъндь лаꙋдѫ, Еширѫ Ꙟмꙋнтеле маслинилѡрь.	Și după ce au cântat laude, au ieșit la Muntele Măslinilor.
Атꙋнче ζисе лѡрь ЇС: тоць вои вѫ вець сминти ꙟмине ꙟчастѫ ноапте, кѫ скрись ѧсте бате вою пъсторюл ши съ ва ръсфира тꙋрма ѡилѡрь.	Atunci Iisus le-a zis: Voi toți vă veți sminti întru Mine în noaptea aceasta căci scris este: "Bate-voi păstorul și se vor risipi oile turmei".
Ѩрѫ дꙋпѫ че вою ꙟвїѧ, мѣрџе вою ꙟнаинтевѫ ꙟгалилею.	Dar după învierea Mea voi merge mai înainte de voi în Galileea.
Ѩрѫ ръспꙋнζъндь пътрꙋ, ζисе лꙋи: десарѫ ши тоци зминти Ꙟтине, ѩрѫ Еꙋ нечь кѫндь нꙋ мъ вою зминти.	Iar Petru, răspunzând, I-a zis: Dacă toți se vor sminti întru Tine, eu niciodată nu mă voi sminti.
Зисе ЇС лꙋи: адевър гръескꙋ цїе къ ꙟчастѫ ноапте, маинте де кънтатꙋл кокошꙋлꙋи, де треи ѡри те веи лепъда де мине.	Zis-a Iisus lui: Adevărat zic ție că în noaptea aceasta, mai înainte de a cânta cocoșul, de trei ori te vei lepăda de Mine.
Зисе пѫтрꙋ лꙋи: де мисарѫтѫ мила ши амꙋри кꙋ тине, нꙋ мъ вою лъпѫда де тине, ашиждере ши тоц ѹченичїи зисърѫ.	Petru i-a zis: Și de ar fi să mor împreună cu Tine, nu mă voi lepăda de Tine. Și toți ucenicii au zis la fel.
Атꙋнче вени кꙋ еи ЇС ꙟлок каре съ кїамѫ геѳсимани ши ζисе ѹченичилорь: шедеци ачичѧ, пънѫ вою мѣрџе аколо съ мѫ рогь.	Atunci Iisus a mers împreună cu ei la un loc ce se cheamă Ghetsimani și a zis ucenicilor: Ședeți aici, până ce Mă voi duce acolo și Mă voi ruga.
Ши лꙋꙟндь пре пѫтрꙋ ши пре дои фечори алꙋи ζеведею, ꙟчепꙋ атѫнжи ши асъ ꙟтриста.	Și luând cu Sine pe Petru și pe cei doi fii ai lui Zevedeu, a început a Se întrista și a Se mâhni.
Атꙋнчи зисе лорь ЇС: трист ѧсте сꙋфлетꙋл мїеꙋ пънѫ ла моарте. Pъмѫнец аичь ши превегѣць кꙋ мине.	Atunci le-a zis: Întristat este sufletul Meu până la moarte. Rămâneți aici și privegheați împreună cu Mine.
Ши мергѫндь пꙋцинель, къζꙋ пре фаца лꙋи рꙋгѫндꙋсѫ ши ζикънд: татѫл мїеꙋ, съ поате фи трѣкѫ дела мине ачесть пъхарь! ꙟсѫ нꙋ кꙋмь воескꙋ Еꙋ, че тꙋ.	Și mergând puțin mai înainte, a căzut cu fața la pământ, rugându-Se și zicând: Părintele Meu, de este cu putință, treacă de la Mine paharul acesta! Însă nu precum voiesc Eu, ci precum Tu voiești.
Атꙋнчи вени кътрѫ ѹченичїи лꙋи ши афлѫ пре Еи дорминд ши ζисе лꙋи пътрꙋ: ашѧ нꙋ пꙋтꙋт ѹн час превегѣ кꙋ мине!	Și a venit la ucenici și i-a găsit dormind și i-a zis lui Petru: Așa, n-ați putut un ceas să privegheați cu Mine!
Превегѣц ши вѫ рꙋгац, ка съ нꙋ ꙟтрац ꙟиспитѫ. Kѫ сꙋфлетꙋл Е гата, ѩрѫ трꙋпꙋлꙋи слабь.	Privegheați și vă rugați, ca să nu intrați în ispită. Căci duhul este osârduitor, dar trupul este neputincios.
Адоа ѡарѫ ѩрѫ мѣрсе, ши сѫ рꙋгѫ, зикънд: татъл мїеꙋ де нꙋ поате трѣче чест пъхар съ нꙋл бѣꙋ, фїе воѧ та.	Iarăși ducându-se, a doua oară, s-a rugat, zicând: Părintele Meu, dacă nu este cu putință să treacă acest pahar, ca să nu-l beau, facă-se voia Ta.
Ши ѩрѫ мѣрсе, ши афлѫ пре еи дꙋрминд къ Ера ѡкїи лор ꙟгреꙋѧц.	Și venind iarăși, i-a aflat dormind, căci ochii lor erau îngreuiați.
Ши лъсъндь пре Еи ѩрѫ мѣрсе, десѫ рꙋгѫ атреѧ ѡарѫ, ачелаш кꙋвънть зикънд.	Și lăsându-i, S-a dus iarăși și a treia oară S-a rugat, același cuvânt zicând.
Атꙋнчи вени кътрѫ ѹченичїи лꙋи, ши зисе лорь: дормиц де акꙋм ши ѡдихниц! ѩка саꙋ апропїат часꙋл ши фїюль ѡменескь съ ва да ꙟмъниле пъкѫтошилорь.	Atunci a venit la ucenici și le-a zis: Dormiți de acum și vă odihniți! Iată s-a apropiat ceasul și Fiul Omului va fi dat în mâinile păcătoșilor.
Скꙋлацивѫ съ мѣрџем, ѩтѫ съ апропїЕ чела чемѫ въндꙋ.	Sculați-vă să mergem, iată s-a apropiat cel ce M-a vândut.
Ши Ꙟкѫ гръинд Ель, ѩтѫ Їꙋда ѹнꙋл де ꙟчеи доиспръзѣче вени ши кꙋ Ел мꙋлциме мꙋлтѫ, кꙋ арме ши кꙋ фꙋщи тремиш дела маи марїи попилор ши бътрънїи ѡаменилорь.	Și pe când vorbea încă, iată a sosit Iuda, unul dintre cei doisprezece, și împreună cu el mulțime multă, cu săbii și cu ciomege, de la arhierei și de la bătrânii poporului.
Ѩрѫ чела че въндꙋ пре Ель, дедѣсе лорь съмнꙋ, зикъндь: пре кареле вою сърꙋта ачелаи, приндециль.	Iar vânzătorul le-a dat semn, zicând: Pe care-L voi săruta, Acela este: puneți mâna pe El.
Ши нꙋмаи кът вениндь ла ЇС, ζисе: бꙋкꙋръте Ꙟвъцъторюле шиль сърꙋтѫ.	Și îndată, apropiindu-se de Iisus, a zis: Bucură-Te, Învățătorule! Și L-a sărutat.
Ѩрѫ ЇС зисе лꙋи: соаце, пентрꙋ че аи венитЬ? атꙋнче съ апропїарѫ ши пꙋсърѫ мъниле пре ЇС, шил принсърѫ.	Iar Iisus i-a zis: Prietene, pentru ce ai venit? Atunci ei, apropiindu-se, au pus mâinile pe Iisus și L-au prins.
Ши ѩтѫ, ѹнꙋл дин чеи че Ера кꙋ ЇС, тинζънд мъна де скоасе сабїѧ лꙋи ши ловинд пре слꙋга маи марелꙋи попѫ тъе ꙋрѣкѣ лꙋи.	Și iată, unul dintre cei ce erau cu Iisus, întinzând mâna, a tras sabia și, lovind pe sluga arhiereului, i-a tăiat urechea.
Атꙋнче зисе ЇС лꙋи: ꙟтоарче сабїѧ та ꙟлокꙋл Еи, кѫ тоць карїи каꙋтѫ кꙋ армѫ де армѫ ворь пери.	Atunci Iisus i-a zis: Întoarce sabia ta la locul ei, că toți cei ce scot sabia, de sabie vor pieri.
Аꙋ пареци кѫ нꙋ почь акꙋм рꙋга пре пъринтеле мїеꙋ съми дѣ мїе акꙋм маи мꙋлть де доаѡспръζѣче легеѡане де ꙟџери.	Sau ți se pare că nu pot să rog pe Tatăl Meu și să-Mi trimită acum mai mult de douăsprezece legiuni de îngeri?
Дарѫ кꙋм ѩрѫ ꙟплѧ скриптꙋриле, кареле ζик, кѫ ашѧ съ каде съ фїе?	Dar cum se vor împlini Scripturile, că așa trebuie să fie?
Ꙟтрачел час ζисе ЇС мꙋлцимееи: калаꙋнтѫл харю ац Ешит кꙋ сабїи ши кꙋ фꙋщи съмѫ приндец! ꙟтоате ζиле да вои ам шѫζꙋт, Ꙟвъцѫнд ꙟбесѣрикѫ ши нꙋ мац принсꙋ.	În ceasul acela, a zis Iisus mulțimilor: Ca la un tâlhar ați ieșit cu săbii și cu ciomege, ca să Mă prindeți. În fiecare zi ședeam în templu și învățam și n-ați pus mâna pe Mine.
Ачаста тот фꙋ ка съсѫ Ꙟпле скриптꙋриле пророчилѡрь. Aтꙋнчи ѹченичїи тоць лъсъндь пре Ель, фꙋџирѫ.	Dar toate acestea s-au făcut ca să se împlinească Scripturile proorocilor. Atunci toți ucenicii, lăsându-L, au fugit.
Ѩрѫ Еи принсърѫ пре ЇС, дꙋсъръл ла каїафа, попа чель маре, ѹнде къртꙋларїи ши бътрънїи Ера адꙋнаць.	Iar cei care au prins pe Iisus L-au dus la Caiafa arhiereul, unde erau adunați cărturarii și bătrânii.
Ѩрѫ пѫтрꙋ мерџѣ дꙋпѫ Ель департе, пънѫ ла кꙋртѣ попїи челꙋи маре ши ꙟтръндь ꙟлъꙋнтрꙋ шедѣ кꙋ слꙋџїле, съи ваζѫ сфършитꙋл.	Iar Petru Îl urma de departe până a ajuns la curtea arhiereului și, intrând înăuntru, ședea cu slugile, ca să vadă sfârșitul.
Ѩрѫ попїи чеи маи мари ши бътрънїи ши тот сфатꙋль каꙋта мърмтꙋрїи минчюноасе спре ЇС, ка съл ѡмоарѫ пре Ел.	Iar arhiereii, bătrânii și tot sinedriul căutau mărturie mincinoasă împotriva lui Iisus, ca să-L omoare.
Ши нꙋ афларѫ ши съва къ венирѫ, мъртꙋрїи мꙋлте минчюноасе, ши нꙋшь афларѫ, ѩрѫ маи апои вениндь дои мъртꙋриситори стръмби.	Și n-au găsit, deși veniseră mulți martori mincinoși. Mai pe urmă însă au venit doi și au spus:
Зисърѫ, ачеста аꙋ зис: почю ръсипи бесѣрека лꙋи дꙋмнеѕъꙋ ши атреѧ ζи ѡвою зиди ѧ.	Acesta a zis: Pot să dărâm templul lui Dumnezeu și în trei zile să-l clădesc.
Ши скꙋлъндꙋсѫ, попа чель маре, зисе лꙋи: немикѫ нꙋ ръспꙋнζи, ла ачѣстѣ че мъртꙋрисескꙋ ачещѣ спре тине?	Și, sculându-se, arhiereul I-a zis: Nu răspunzi nimic la ceea ce mărturisesc aceștia împotriva Ta?
Ѩрѫ ЇС тъчѣ, ши ръспꙋнζъндь попа чель маре, зисе лꙋи: џюрꙋте пре дꙋмнеѕъꙋ чель вїꙋ, съ спꙋи ноаѡ сѫ Ещи тꙋ ачел ΧС фїюль лꙋи дꙋмнеѕъꙋ.	Dar Iisus tăcea. Și arhiereul I-a zis: Te jur pe Dumnezeul cel viu, să ne spui nouă de ești Tu Hristosul, Fiul lui Dumnezeu.
Зисе ЇС лꙋи: тꙋ зисеши. Ꙟсѫ зик воаѡ: де акꙋм веци ведѣ фїюл ѡменескь, шъζънд дѣ дерѣпта пꙋтѣрїеи лꙋи дꙋмнеѕъꙋ ши вїинд спре нꙋѡрїи черюлꙋи.	Iisus i-a răspuns: Tu ai zis. Și vă spun încă: De acum veți vedea pe Fiul Omului șezând de-a dreapta puterii și venind pe norii cerului.
